reward,loss,timesteps
227,775.7447,2249287
211,253.24512,2251634
216,306.8273,2253462
216,244.63399,2255282
216,292.09436,2257942
216,674.69775,2260126
205,382.60992,2262130
212,89.77553,2264144
204,480.09235,2265917
220,4148.655,2268275
232,796.3261,2270148
234,946.5779,2272263
244,316.91992,2274239
229,388.1657,2276483
235,285.40552,2278436
238,333.61005,2280733
249,303.5216,2282699
252,295.15753,2285131
248,296.89316,2286421
237,262.50916,2288809
252,531.0873,2290974
227,998.29333,2292079
246,202.12526,2294251
227,206.7099,2296547
237,955.7339,2297757
242,266.14517,2300866
246,283.53903,2302974
254,212.36308,2305467
241,389.74103,2306605
241,166.25336,2309246
247,960.7437,2311507
245,267.58163,2313321
243,289.80402,2315434
232,311.23883,2317375
254,281.42838,2319144
243,300.0885,2320975
246,418.2862,2323196
238,294.07782,2325580
238,296.68292,2326894
258,299.67102,2329228
264,837.18677,2331660
248,394.0952,2333312
252,306.7305,2335737
263,1074.3674,2337790
267,302.31613,2339374
270,418.00156,2341657
271,884.4874,2344050
277,224.9153,2345458
277,383.98633,2348560
273,361.7212,2349564
278,405.19766,2352323
264,306.83197,2353759
282,326.58038,2356163
283,1568.1469,2357537
288,312.78967,2360198
289,332.89908,2361820
289,283.96964,2364670
284,372.73718,2365857
288,499.6322,2368884
275,385.12097,2370242
294,277.20456,2372767
282,417.02203,2374707
280,387.21173,2375987
280,325.7753,2378854
277,502.90253,2380542
266,310.0349,2383176
269,243.40637,2385015
271,448.73895,2386733
270,255.08142,2389002
267,301.02066,2390752
257,379.87167,2392651
252,375.4517,2395199
258,389.95587,2397201
254,922.61237,2399323
261,205.07571,2401584
270,963.84924,2402901
260,308.94098,2404918
267,981.0177,2407589
260,348.16415,2409390
290,1517.6893,2411808
281,292.48688,2413784
288,375.90637,2415575
289,207.83865,2418090
280,816.0219,2419725
287,276.68323,2421521
275,690.83496,2423036
268,2019.5231,2425383
279,1911.7723,2426724
299,376.2209,2430215
298,472.23102,2431323
293,478.4497,2433993
293,662.0232,2436361
298,1246.4447,2437564
297,415.66687,2440139
295,445.64468,2441763
298,277.3308,2444726
296,323.32266,2446309
293,178.10931,2448569
255,274.739,2450484
247,241.13144,2451795
252,195.61172,2454974
234,202.29631,2456686
243,168.2233,2458446
221,174.73502,2460303
227,162.91364,2462799
219,338.4842,2464776
219,162.3631,2466788
225,157.8796,2468750
213,227.86737,2471003
222,133.09616,2473237
214,179.6631,2475341
208,180.12946,2476867
226,124.07568,2479282
218,225.88715,2480804
220,147.00012,2483220
222,187.78471,2485298
216,173.75322,2487663
208,99.951065,2489419
210,216.0491,2490939
213,185.58693,2493517
217,168.71388,2495596
218,164.94531,2497720
218,110.753006,2499929
214,196.60349,2501709
219,613.3369,2503074
215,215.94069,2505407
220,151.705,2507946
222,157.26096,2509668
219,247.18155,2511579
228,131.90585,2514003
221,231.4293,2515754
227,176.64047,2517834
225,201.67401,2520042
221,192.12218,2521886
233,146.8182,2524588
227,203.84805,2526423
226,165.6244,2527934
231,122.00226,2530554
228,306.8806,2532311
231,354.8388,2533932
233,126.16236,2536538
223,214.76595,2538236
230,128.24442,2540263
230,127.11705,2542546
226,208.34659,2544547
230,112.70354,2547216
219,146.41898,2548825
222,212.87866,2550651
223,200.107,2553143
222,160.7107,2554721
215,186.68222,2557337
218,181.63936,2558594
215,255.21167,2560837
211,228.71158,2562705
226,154.25809,2565481
210,185.52693,2566945
227,193.097,2569185
226,398.9027,2570887
228,213.94217,2573491
237,179.08841,2575503
230,476.42505,2576757
239,731.17206,2579412
248,353.75912,2581014
256,223.5133,2583937
254,200.3443,2585726
252,220.08748,2587454
258,206.49977,2589687
249,592.7717,2591774
259,273.69666,2593921
249,393.84497,2595628
256,183.88788,2597686
250,222.53244,2600204
245,260.14984,2602075
251,165.94443,2604010
245,436.73773,2606046
257,162.4412,2608435
245,306.05182,2610122
247,311.98157,2612294
246,3413.6719,2613989
266,358.13113,2616480
253,1208.3318,2617873
257,1060.4648,2620799
255,1211.6094,2621855
